ESTADO;ANO;;MES;VALOR TOTAL;QTDE;TICKET MEDIO
CE;2018;8;1665,9;7;237,985714285714
MT;2017;9;169,15;3;56,3833333333333
PE;2017;3;1344,56;5;268,912
PA;2017;12;39;1;39
PA;2018;2;19;1;19
SP;2017;8;370700,650000002;3583;103,460968462183
RJ;2018;1;60949,5700000001;345;176,665420289855
BA;2018;3;2378,94;11;216,267272727273
SE;2017;11;855,8;5;171,16
RN;2018;3;523,8;3;174,6
DF;2018;1;9674,45;76;127,295394736842
RS;2018;5;24084,83;145;166,102275862069
DF;2018;7;5091,53;63;80,8179365079365
SC;2017;12;43016,9600000001;198;217,257373737374
GO;2017;7;1966,91;20;98,3455
MS;2017;5;1385,65;8;173,20625
RJ;2016;10;8449,97999999999;46;183,695217391304
SP;2017;2;143915,999999999;1290;111,562790697674
PR;2017;12;59724,0500000002;466;128,163197424893
ES;2017;10;2816,9;27;104,32962962963
RJ;2017;3;19463,85;103;188,969417475728
SE;2017;5;89,9;1;89,9
SC;2017;6;17781,8;142;125,223943661972
PE;2017;9;828,3;3;276,1
PR;2018;7;90614,9999999999;573;158,141361256544
DF;2016;10;540,79;4;135,1975
MG;2016;9;72,89;2;36,445
PI;2018;1;590;2;295
MG;2017;2;31040,5900000001;242;128,266900826446
MG;2018;3;60889,0900000002;474;128,457995780591
PR;2017;6;32066,3500000001;234;137,035683760684
BA;2017;10;47924,84;79;606,643544303797
GO;2018;8;4404,42;44;100,100454545455
PB;2018;5;1376,71;3;458,903333333333
RS;2017;12;20742,88;123;168,641300813008
SC;2018;7;53380,3600000001;265;201,435320754717
CE;2017;4;50,32;2;25,16
MA;2018;4;3064,64;36;85,1288888888888
ES;2018;3;2977,38;26;114,514615384615
MT;2018;4;848,8;8;106,1
RN;2017;5;1199,8;2;599,9
SP;2018;6;538278,33000001;4977;108,153170584691
DF;2017;11;6921,82;76;91,0765789473684
PR;2017;3;45049,8700000001;229;196,724323144105
RJ;2018;4;66004,1600000001;342;192,994619883041
BA;2017;7;1549,85;6;258,308333333333
RS;2017;1;2689,09;18;149,393888888889
PB;2018;8;1047,8;5;209,56
CE;2018;5;1397;3;465,666666666667
MG;2017;10;51383,6100000002;474;108,404240506329
RS;2018;2;11265,33;71;158,66661971831
SC;2017;3;19198,59;151;127,14298013245
MS;2017;2;729,6;4;182,4
GO;2017;4;1969,5;18;109,416666666667
SP;2017;11;622301,920000014;6238;99,7598461045229
RS;2018;8;33787,63;170;198,750764705883
SC;2017;9;20823,87;185;112,561459459459
DF;2018;4;5771,89;48;120,247708333333
GO;2017;10;2134,77;18;118,598333333333
PB;2017;7;2398;2;1199
PE;2018;7;12012,38;39;308,009743589744
SP;2017;3;225984,289999996;1948;116,008362422996
MG;2017;5;49673,9500000002;480;103,487395833334
SC;2017;7;27134,7300000001;219;123,902876712329
GO;2018;3;3294,45;37;89,0391891891892
PR;2018;8;67402,5500000002;518;130,120752895753
MG;2016;10;2474,02;28;88,3578571428571
PI;2018;4;295;1;295
SP;2016;10;26405,9300000001;209;126,344162679426
PR;2017;7;34410,9500000001;277;124,22725631769
BA;2017;11;23131,08;64;361,423125
DF;2017;6;1807,76;22;82,1709090909091
SC;2018;8;42582,7900000001;249;171,015220883534
MS;2018;4;165,9;1;165,9
RJ;2017;6;19707,3;106;185,917924528302
MS;2016;10;524,2;3;174,733333333333
SP;2018;4;675883,950000016;5924;114,092496623906
AC;2016;10;267;1;267
SE;2018;7;179,8;2;89,9
CE;2017;5;223,9;3;74,6333333333333
SE;2018;1;360,8;1;360,8
SC;2018;2;40646,1900000001;256;158,7741796875
MG;2018;4;59099,6100000001;519;113,872080924856
MA;2018;5;6062,27999999999;72;84,1983333333332
SP;2018;7;551438,560000007;4911;112,286410099777
CE;2018;6;2125;6;354,166666666667
DF;2017;12;4526,41;50;90,5282
RN;2017;6;333,9;2;166,95
MT;2018;5;646,9;5;129,38
